date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:47	21942/21942	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/wasta-applications/wasta-resources	./.wasta-linux-website/sites.google.com/site/wastalinux/wasta-applications/wasta-resources.html	(from https://sites.google.com/site/wastalinux/)
10:18:47	46585/46585	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/why-linux	./.wasta-linux-website/sites.google.com/site/wastalinux/why-linux.html	(from https://sites.google.com/site/wastalinux/)
10:18:48	10209/10209	U--M--	200	updated ('OK')	image/png	date:Wed,%2021%20Jan%202015%2007:18:47%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1416329213793/home/wasta-linux-round-128.png	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1416329213793/home/wasta-linux-round-128.png	(from https://sites.google.com/site/wastalinux/)
10:18:49	13113/13113	---M--	200	added ('OK')	image/gif	date:Wed,%2021%20Jan%202015%2007:18:47%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/images/toolbar-check.gif	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/images/toolbar-check.gif	(from https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/css/editor.css)
10:18:49	51608/51608	U--M--	200	updated ('OK')	image/jpeg	date:Wed,%2021%20Jan%202015%2007:18:48%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1416236791661/home/wasta-1404-800.jpg	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1416236791661/home/wasta-1404-800.jpg	(from https://sites.google.com/site/wastalinux/)
10:18:49	11355/11355	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/system/app/pages/reportAbuse	./.wasta-linux-website/sites.google.com/site/wastalinux/system/app/pages/reportAbuse.html	(from https://sites.google.com/site/wastalinux/)
10:18:49	259/259	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Jan%202015%2007:18:49%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/images/icon-help-kennedy.png	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/images/icon-help-kennedy.png	(from https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/css/editor.css)
10:18:50	7377/7377	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Jan%202015%2007:18:50%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/images/command.png	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/images/command.png	(from https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/css/camelot/editor-jfk.css)
10:18:51	5524/5524	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Jan%202015%2007:18:51%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/images/camelot.png	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/images/camelot.png	(from https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/css/camelot/allthemes-view.css)
10:18:55	20629/20629	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/home/create-bootable-usb	./.wasta-linux-website/sites.google.com/site/wastalinux/home/create-bootable-usb.html	(from https://sites.google.com/site/wastalinux/home/download)
10:18:55	28215/28215	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/home	./.wasta-linux-website/sites.google.com/site/wastalinux/home.html	(from https://sites.google.com/site/wastalinux/home/download)
10:18:56	18138/18138	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Jan%202015%2007:18:52%20GMT	https://sites.google.com/site/wastalinux/home/CSI/	./.wasta-linux-website/sites.google.com/site/wastalinux/home/CSI/index.html	(from https://sites.google.com/site/wastalinux/home/download)
10:18:56	397/397	U--M--	200	updated ('OK')	image/jpeg	date:Wed,%2021%20Jan%202015%2007:18:51%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1416391308120/config/website-background.jpg.1416391307282.jpg	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1416391308120/config/website-background.jpg.1416391307282.jpg	(from https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/css/overlay.css?cb=ski25a1100px%25150goog-ws-leftnone30middlestandard)
10:18:56	600/600	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2021%20Jan%202015%2007:18:56%20GMT	https://sites.google.com/site/wastalinux/wasta-applications/wasta-backup/wasta-backup-1.png?attredirects=0	./.wasta-linux-website/sites.google.com/site/wastalinux/wasta-applications/wasta-backup/wasta-backup-1.226fb5.delayed	(from https://sites.google.com/site/wastalinux/wasta-applications/wasta-backup)
10:18:56	23795/23795	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/home/virtualbox-installation	./.wasta-linux-website/sites.google.com/site/wastalinux/home/virtualbox-installation.html	(from https://sites.google.com/site/wastalinux/home/download)
10:18:57	634/634	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2021%20Jan%202015%2007:18:57%20GMT	https://sites.google.com/site/wastalinux/wasta-applications/wasta-offline/wasta-offline-setup.png?attredirects=0	./.wasta-linux-website/sites.google.com/site/wastalinux/wasta-applications/wasta-offline/wasta-offline-setup.256fb5.delayed	(from https://sites.google.com/site/wastalinux/wasta-applications/wasta-offline)
10:18:57	22612/22612	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/home/customizing/remastersys-iso	./.wasta-linux-website/sites.google.com/site/wastalinux/home/customizing/remastersys-iso.html	(from https://sites.google.com/site/wastalinux/home/customizing)
10:18:57	21672/21672	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/home/customizing/launchpad-setup	./.wasta-linux-website/sites.google.com/site/wastalinux/home/customizing/launchpad-setup.html	(from https://sites.google.com/site/wastalinux/home/customizing)
10:18:58	24837/24837	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/home/customizing/maintain-package	./.wasta-linux-website/sites.google.com/site/wastalinux/home/customizing/maintain-package.html	(from https://sites.google.com/site/wastalinux/home/customizing)
10:18:59	629/629	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2021%20Jan%202015%2007:18:58%20GMT	https://sites.google.com/site/wastalinux/wasta-applications/wasta-offline/wastaoffline-1.png?attredirects=0	./.wasta-linux-website/sites.google.com/site/wastalinux/wasta-applications/wasta-offline/wastaoffline-1.276fb5.delayed	(from https://sites.google.com/site/wastalinux/wasta-applications/wasta-offline)
10:18:59	10715/10715	U--M--	200	updated ('OK')	image/png	date:Wed,%2021%20Jan%202015%2007:18:59%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1417520959534/wasta-applications/wasta-backup/wasta-backup-128.png	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1417520959534/wasta-applications/wasta-backup/wasta-backup-128.png	(from https://sites.google.com/site/wastalinux/wasta-applications/wasta-backup)
10:18:59	18152/18152	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Jan%202015%2007:18:59%20GMT	https://sites.google.com/site/wastalinux/wasta-applications/CSI/	./.wasta-linux-website/sites.google.com/site/wastalinux/wasta-applications/CSI/index.html	(from https://sites.google.com/site/wastalinux/wasta-applications/wasta-backup)
10:19:00	629/629	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2021%20Jan%202015%2007:19:00%20GMT	https://sites.google.com/site/wastalinux/wasta-applications/wasta-offline/wastaoffline-2.png?attredirects=0	./.wasta-linux-website/sites.google.com/site/wastalinux/wasta-applications/wasta-offline/wastaoffline-2.296fb5.delayed	(from https://sites.google.com/site/wastalinux/wasta-applications/wasta-offline)
10:19:02	66036/66036	U--M--	200	updated ('OK')	image/png	date:Wed,%2021%20Jan%202015%2007:18:59%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1417520959534/wasta-applications/wasta-backup/wasta-backup-1.png	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1417520959534/wasta-applications/wasta-backup/wasta-backup-1.png	(from https://sites.google.com/site/wastalinux/wasta-applications/wasta-backup)
10:19:02	11314/11314	U--M--	200	updated ('OK')	image/png	date:Wed,%2021%20Jan%202015%2007:19:00%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1417521038985/wasta-applications/wasta-offline/wasta-offline-128.png	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1417521038985/wasta-applications/wasta-offline/wasta-offline-128.png	(from https://sites.google.com/site/wastalinux/wasta-applications/wasta-offline)
10:19:02	52340/52340	U--M--	200	updated ('OK')	image/png	date:Wed,%2021%20Jan%202015%2007:19:01%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1417521038985/wasta-applications/wasta-offline/wasta-offline-setup.png	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1417521038985/wasta-applications/wasta-offline/wasta-offline-setup.png	(from https://sites.google.com/site/wastalinux/wasta-applications/wasta-offline)
10:19:03	56318/56318	U--M--	200	updated ('OK')	image/png	date:Wed,%2021%20Jan%202015%2007:19:01%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1417521038985/wasta-applications/wasta-offline/wastaoffline-1.png	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1417521038985/wasta-applications/wasta-offline/wastaoffline-1.png	(from https://sites.google.com/site/wastalinux/wasta-applications/wasta-offline)
10:19:03	598/598	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2021%20Jan%202015%2007:19:03%20GMT	https://sites.google.com/site/wastalinux/wasta-applications/wasta-menus/wasta-menus-1.jpg?attredirects=0	./.wasta-linux-website/sites.google.com/site/wastalinux/wasta-applications/wasta-menus/wasta-menus-1.2c6fb5.delayed	(from https://sites.google.com/site/wastalinux/wasta-applications/wasta-menus)
10:19:03	39087/39087	U--M--	200	updated ('OK')	image/png	date:Wed,%2021%20Jan%202015%2007:19:03%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1417521038985/wasta-applications/wasta-offline/wastaoffline-2.png	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1417521038985/wasta-applications/wasta-offline/wastaoffline-2.png	(from https://sites.google.com/site/wastalinux/wasta-applications/wasta-offline)
10:19:04	10759/10759	U--M--	200	updated ('OK')	image/png	date:Wed,%2021%20Jan%202015%2007:19:03%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1417520981773/wasta-applications/wasta-resources/wasta-resources-128.png	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1417520981773/wasta-applications/wasta-resources/wasta-resources-128.png	(from https://sites.google.com/site/wastalinux/wasta-applications/wasta-resources)
10:19:04	598/598	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2021%20Jan%202015%2007:19:04%20GMT	https://sites.google.com/site/wastalinux/wasta-applications/wasta-menus/wasta-menus-2.jpg?attredirects=0	./.wasta-linux-website/sites.google.com/site/wastalinux/wasta-applications/wasta-menus/wasta-menus-2.2e6fb5.delayed	(from https://sites.google.com/site/wastalinux/wasta-applications/wasta-menus)
10:19:10	598/598	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2021%20Jan%202015%2007:19:10%20GMT	https://sites.google.com/site/wastalinux/wasta-applications/wasta-menus/wasta-menus-4.png?attredirects=0	./.wasta-linux-website/sites.google.com/site/wastalinux/wasta-applications/wasta-menus/wasta-menus-4.306fb5.delayed	(from https://sites.google.com/site/wastalinux/wasta-applications/wasta-menus)
10:19:11	29593/29593	U--M--	200	updated ('OK')	image/jpeg	date:Wed,%2021%20Jan%202015%2007:19:10%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1417520967881/wasta-applications/wasta-menus/wasta-menus-1.jpg?height=363&width=400	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1417520967881/wasta-applications/wasta-menus/wasta-menus-187dc.jpg	(from https://sites.google.com/site/wastalinux/wasta-applications/wasta-menus)
